filename, Nf, Nc, Tc, ADC SAMPLES, SAMPLING RATE, Periodicity, PWM, L, R, Description, Vb, dphi/dt, Object orientation
2024-02-14_10.bin,10,182,72,256,4400,200,10,720,720,"straight object, test",3.5,-0.028354200000000003,Straight
2024-02-14_10.bin,200,182,72,256,4400,200,10,360,360,straight object,3.1,-0.02511372,Straight
2024-02-14_0.bin,50,182,72,256,4400,200,0,360,360,"straight object, static",0.0,-0.0,Straight
2024-02-14_15.bin,200,182,72,256,4400,200,15,360,360,straight object,6.71,-0.054359052000000005,Straight
2024-02-14_20.bin,100,182,72,256,4400,200,20,360,360,straight object,9.47,-0.07671836400000001,Straight
2024-02-14_25.bin,100,182,72,256,4400,200,25,360,360,straight object,12.8,-0.10369536000000003,Straight
2024-02-14_30.bin,50,182,72,256,4400,200,30,360,360,straight object,17.3,-0.14015076,Straight
2024-02-14_35.bin,50,182,72,256,4400,200,35,360,360,straight object,19.27,-0.15611012400000002,Straight
2024-02-14_40.bin,50,182,72,256,4400,200,40,360,360,straight object,22.0,-0.1782264,Straight
2024-02-14_45.bin,25,182,72,256,4400,200,45,450,450,straight object,24.0,-0.19442879999999998,Straight
2024-02-14_50.bin,30,182,72,256,4400,200,50,450,450,straight object,28.0,-0.22683360000000002,Straight
2024-02-14_55.bin,30,182,72,256,4400,200,55,450,450,straight object,30.5,-0.24708660000000005,Straight
2024-02-15_9.bin,500,182,72,256,4400,200,9,630,630,straight object,2.64,-0.021387168,Straight
2024-02-15_8.bin,400,182,72,256,4400,200,8,450,450,straight object,1.5,-0.012151799999999999,Straight
2024-02-15_12.bin,300,182,72,256,4400,200,12,540,540,straight object,4.73,-0.03831867600000001,Straight
2024-02-15_14.bin,300,182,72,256,4400,200,14,630,630,straight object,6.11,-0.049498332000000006,Straight
2024-02-15_13.bin,300,182,72,256,4400,200,13,540,540,straight object,5.5,-0.0445566,Straight
2024-02-15_0.bin,300,182,72,256,4400,200,0,540,540,straight object,0.0,-0.0,Straight
2024-02-15_13.bin,300,182,72,256,4400,200,13,540,540,straight object,5.56,-0.045042672000000006,Straight
2024-02-15_17.bin,200,182,72,256,4400,200,17,540,540,straight object,8.33,-0.06748299600000002,Straight
2024-02-15_16.bin,200,182,72,256,4400,200,16,540,540,straight object,7.43,-0.060191916000000005,Straight
2024-02-15_18.bin,200,182,72,256,4400,200,18,540,540,straight object,8.8,-0.07129056000000002,Straight
2024-02-15_21.bin,150,182,72,256,4400,200,21,540,540,straight object,10.97,-0.08887016400000003,Straight
2024-02-15_22.bin,150,182,72,256,4400,200,22,630,630,straight object,11.68,-0.09462201600000002,Straight
2024-02-15_24.bin,150,182,72,256,4400,200,24,630,630,straight object,13.04,-0.105639648,Straight
2024-02-15_26.bin,150,182,72,256,4400,200,26,630,630,straight object,13.84,-0.112120608,Straight
2024-02-15_27.bin,100,182,72,256,4400,200,27,630,630,straight object,14.33,-0.11609019600000002,Straight
2024-02-15_28.bin,100,182,72,256,4400,200,28,630,630,straight object,15.25,-0.12354330000000002,Straight
2024-02-15_29.bin,100,182,72,256,4400,200,29,630,630,straight object,16.07,-0.130186284,Straight
2024-02-15_32.bin,100,182,72,256,4400,200,32,630,630,straight object,17.78,-0.14403933600000005,Straight
2024-02-15_34.bin,100,182,72,256,4400,200,34,630,630,straight object,19.14,-0.15505696800000002,Straight
2024-02-15_36.bin,100,182,72,256,4400,200,36,630,630,straight object,20.93,-0.16955811600000004,Straight
2024-02-15_38.bin,100,182,72,256,4400,200,38,630,630,straight object,21.77,-0.176363124,Straight
2024-02-15_42.bin,75,182,72,256,4400,200,42,630,630,straight object,24.45,-0.19807434,Straight
2024-02-15_44.bin,75,182,72,256,4400,200,44,630,630,straight object,25.64,-0.20771476800000002,Straight
2024-02-15_45.bin,75,182,72,256,4400,200,45,630,630,straight object,25.78,-0.208848936,Straight
2024-02-15_46.bin,50,182,72,256,4400,200,46,630,630,straight object,26.47,-0.21443876400000003,Straight
2024-02-15_47.bin,50,182,72,256,4400,200,47,630,630,straight object,27.1,-0.21954252000000005,Straight
2024-02-15_49.bin,50,182,72,256,4400,200,49,630,630,straight object,29.03,-0.23517783600000006,Straight
2024-02-15_48.bin,50,182,72,256,4400,200,48,630,630,straight object,28.12,-0.22780574400000003,Straight
2024-02-15_51.bin,50,182,72,256,4400,200,51,630,630,straight object,29.7,-0.24060564,Straight
2024-02-15_53.bin,50,182,72,256,4400,200,53,630,630,straight object,31.3,-0.25356756,Straight
2024-02-15_52.bin,50,182,72,256,4400,200,52,630,630,straight object,30.61,-0.247977732,Straight
2024-02-15_54.bin,50,182,72,256,4400,200,54,630,630,straight object,31.8,-0.25761816000000004,Straight
2024-02-15_55.bin,50,182,72,256,4400,200,55,630,630,straight object,32.37,-0.262235844,Straight
2024-03-03_Pilot_1A_10.bin,700,182,72,256,4400,200,10,540,540,Pilot_1A,3.0,-0.024303599999999998,Straight
2024-03-03_Pilot_1B_1obj_20.bin,150,182,72,256,4400,200,20,540,540,Pilot_1B_1obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_1C_2obj_10.bin,800,182,72,256,4400,200,10,-1,-1,Pilot_1C_2obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_1D_2obj_20.bin,200,182,72,256,4400,200,20,-1,-1,Pilot_1D_2obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_2A_1obj_50.bin,60,182,72,256,4400,200,50,-1,-1,Pilot_2A_1obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_2B_1obj_100.bin,20,182,72,256,4400,200,100,-1,-1,Pilot_2B_1obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_2C_1obj_150.bin,20,182,72,256,4400,200,150,-1,-1,Pilot_2C_1obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_2D_1obj_200.bin,10,182,72,256,4400,200,200,-1,-1,Pilot_2D_1obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_2E_1obj_254.bin,10,182,72,256,4400,200,254,-1,-1,Pilot_2E_1obj,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_4A_20.bin,100,182,72,256,4400,200,20,-1,-1,Pilot_4A,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_5A_doppler_phase_sawtooth_error_8.bin,400,182,72,256,4400,200,8,-1,-1,Pilot_5A_doppler_phase_sawtooth_error,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_5B_doppler_phase_sawtooth_error_10.bin,300,182,72,256,4400,200,10,-1,-1,Pilot_5B_doppler_phase_sawtooth_error,-1.0,0.008101200000000001,Straight
2024-03-03_Pilot_6A_velocity_error_8.bin,400,182,72,256,4400,200,8,-1,-1,Pilot_6A_velocity_error,1.95,-0.01579734,Straight
2024-03-03_Pilot_6B_velocity_error_10.bin,200,182,72,256,4400,200,10,-1,-1,Pilot_6B_velocity_error,3.48,-0.028192176000000006,Straight
2024-03-03_Pilot_7A_zombie_trial_10.bin,300,182,72,256,4400,200,10,-1,-1,Pilot_7A_zombie_trial,-1.0,0.008101200000000001,Straight
